cur_price;price_change;change_per
1741;-37.2;-2.09
139.25;0.3;0.22
459;37.8;8.97
372.25;8.3;2.28
106.85;-14.06;-11.63
750.2;-5.85;-0.77
91.4;1.28;1.42
8760;-20.35;-0.23
100.88;0.28;0.28
480;11.4;2.43
70.1;0.08;0.11
152.32;-0.52;-0.34
58.25;0.66;1.15
7884;115.35;1.48
678;3;0.44
1385.5;6.9;0.50
521;1.8;0.35
117.24;0.44;0.38
98.44;-0.56;-0.57
524.45;0.05;0.01
1207.7;6.75;0.56
917.55;9.65;1.06
97.08;4.62;5.00
1531;11.5;0.76
236.6;3.13;1.34
82.3;-1.59;-1.90
543.2;8.95;1.68
55.3;1;1.84
155.45;9.62;6.60
196.5;0.12;0.06
129.75;-3.15;-2.37
114.78;-0.37;-0.32
834;-13.5;-1.59
1768;-10.6;-0.60
71.9;4.32;6.39
472.4;-4.75;-1.00
160.5;0.9;0.56
1225;8.65;0.71
520;3.95;0.77
568.9;6.5;1.16
1052.95;-3.85;-0.36
864.2;-4.85;-0.56
84.29;-0.15;-0.18
9249.95;-53.1;-0.57
1870;38.1;2.08
74.5;-0.98;-1.30
157.95;2.92;1.88
970;79.75;8.96
550;13;2.42
877;-1.9;-0.22
127.23;0.51;0.40
167;-0.68;-0.41
680;-14.15;-2.04
1955;30.45;1.58
143.85;1.49;1.05
843;74.75;9.73
3387;-53.55;-1.56
929.95;17.5;1.92
1003.15;4.45;0.45
11664.05;222.55;1.95
557;0.95;0.17
4090;26.8;0.66
450.35;15;3.45
32;-0.43;-1.33
1643;-85.6;-4.95
1348;16.95;1.27
2955;-12.8;-0.43
3101;18.7;0.61
1242.1;36.05;2.99
262;2.07;0.80
1847.55;95.1;5.43
73.45;2.39;3.36
1203;-1.2;-0.10
405.05;5.05;1.26
566.5;-18.5;-3.16
468.7;12.05;2.64
48.88;3.64;8.05
706;19.3;2.81
227.5;-0.41;-0.18
405.2;0.25;0.06
189.5;-;-
1225;8.65;0.71
951.9;-12.1;-1.26
570.5;6.1;1.08
53.95;0.89;1.68
420.05;-0.1;-0.02
2874;10.35;0.36
192.55;4.33;2.30
419.15;5.55;1.34
63.84;0.15;0.24
163.95;2.47;1.53
449.7;14;3.21
129.7;-0.61;-0.47
330.5;-3.26;-0.98
240;-3.43;-1.41
392;9.1;2.38
833.4;13.8;1.68
222;-2.65;-1.18
396.75;17;4.48
172;0.41;0.24
843;74.75;9.73
5194;-40;-0.76
199.4;2.1;1.06
808;8.55;1.07
93;-1.47;-1.56
483.75;-19.7;-3.91
144.25;6.85;4.99
4021;-15.8;-0.39
775.5;7.7;1.00
421.5;-1.3;-0.31
297;8.85;3.07
92.14;0.28;0.30
465;-1.7;-0.36
192.75;6.85;3.68
236.5;0.75;0.32
33.27;-0.07;-0.21
824.35;5.25;0.64
67.9;0.54;0.80
1893;1.15;0.06
1494.3;16.6;1.12
995;-9.7;-0.97
313.7;-2.8;-0.88
364;-0.45;-0.12
249.5;15.55;6.65
27.29;2.23;8.90
1431.6;-6.35;-0.44
247.1;-8.46;-3.31
364.8;-5.7;-1.54
1789;15.05;0.85
23.66;0.29;1.24
310;10.9;3.64
21.86;-0.25;-1.13
376.69;-8.48;-2.20
1580;2.75;0.17
1984.95;38.75;1.99
30.67;1.46;5.00
124.9;-1.44;-1.14
291;-1.96;-0.67
283.5;8.33;3.03
143.9;0.82;0.57
248;-0.19;-0.08
79.4;-1.02;-1.27
253.5;-13.68;-5.12
526.95;2.95;0.56
1283;28.05;2.24
89;-4.45;-4.76
15.8;-0.13;-0.82
174.7;-0.65;-0.37
200.8;-0.21;-0.10
3299.95;110.8;3.47
82.7;-7.67;-8.49
247.1;-8.46;-3.31
290.85;32.41;12.54
208.99;2.07;1.00
1203;-1.2;-0.10
23;-0.32;-1.37
875.1;0.55;0.06
249;1.45;0.59
62.25;-0.69;-1.10
355.05;-7.2;-1.99
106;12.45;13.31
1721;55.2;3.31
1116.05;25.1;2.30
768;80.95;11.78
184.98;28.97;18.57
803;15.1;1.92
351.9;-3.4;-0.96
84.9;-2.83;-3.23
