id;entry;stop_loss;target;quantity;comments
1;10451.49;7996.33;21914.55;9093;heart
2;4722.53;14151.31;25782.06;21779;who keenly deafening
3;12557.68;7550.16;5974.43;27634;yippee hazelnut aboard
4;22341.77;18762.78;9360.35;2491;misrepresentation bleakly
5;28316.46;18808.05;31414.04;17863;after faithfully spy
6;9723.98;32584.7;25029.56;18641;nationalise several less
7;22719.38;1405.97;12106.55;10088;likely plus
8;12711.67;4377.42;4355.29;15974;inexperienced confused
9;10644;31720.51;16268.97;10762;dull willing
10;18489.1;14382.08;13975.05;8908;autumn
