symbol;entry;stop_loss;target;quantity;comments
AAVAS;1820;1460;2634;8;Not Halal
SAURASHCEM;137;120;177;176;
CREST;420;381;520;77;
USHAMART;402;375;514;111;
MMTC;81.1;73;101;370;Short term
JNKINDIA;714;629;881;35;
AGSTRA;86;75;105;273;Fundamentally not so promising business
CERA;7825;7300;8988;6;Trade missed
ORIENTLTD;107;95;131;250;
RSYSTEMS;497;460;599;81;
AMDIND;75;65;98;300;
MAHEPC;157;134;253;130;wait for 110 price to come. Created a GTT for that
MOREPENLAB;53;42;75;273;
BLUEDART;7631;6681;9640;3;
MARICO;595;518;777;39;
SANSERA;1143;955;1513;16;
JKPAPER;452;408;598;68;
ANDHRSUGAR;107;92;177;200;
MANALIPETC;78;70;109;375;
CHEMPLASTS;543;402;826;21;
APLLTD;835;707;970;23;
NESCO;934;880;1120;56;
MTNL;42;38;52;750;Business shrinking
CLEAN;1421;1339;1622;37;
GSFC;255;237;320;167;
KHAICHEM;69;59;96;300;
GHCL;545;516;629;103;Will buy below 350
DEN;56;50;69;500;
BEPL;118;102;148;188;
ELIN;186;159;245;111;
BPL;115;87;176;107;
MAWANASUG;121;102;179;158;Will buy @ 104
GODREJAGRO;565;476;746;34;
THANGAMAYL;1525;1326;1895;15;
BVCL;62;56;77;500;
MHRIL;450;418;533;94;
PRECWIRE;149;137;196;250;
POCL;736;655;906;37;
DBL;505;446;750;51;
UFLEX;500;375;811;24;
POLYPLEX;966;750;1644;14;
COSMOFIRST;686;506;1428;17;
SPIC;85.8;78;100;385;
MAHSCOOTER;8608;7965;10471;5;
SUMMITSEC;1605;1450;2036;19;
USK;74;65;101;333;
AEROFLEX;155;143;179;250;Long term
PGIL;714;656;915;52;
APOLLOTYRE;499;472;558;111;
JPOLYINVST;835;732;1078;29;
PNBGILTS;127;115;158;250;
CESC;162;146;202;188;Will buy @ 145
CHEMBOND;655;605;853;60;
STYLAMIND;1701;1582;1970;25;
PFOCUS;115;99;147;188;Stay cautious. Not very high volume
EMSLIMITED;606;507;841;30;
KDDL;2842;2631;3732;14;
SUVENPHAR;768;696;936;42;
360ONE;901;814;1100;34;
ULTRACEMCO;11344;10590;13130;4;
HINDCOMPOS;495;440;611;55;
VHL;3765;3400;4680;8;
BBOX;312;256;548;54;
DGCONTENT;33.4;28;46;556;
ROUTE;1735;1510;2389;13;
WABAG;1030;765;1947;11;
SWARAJENG;2650;2148;4221;6;
NDGL;2899;2012;5170;3;
GULFOILLUB;1100;797;1800;10;
ASHOKA;200;140;355;50;
MGL;1564;1434;1953;23;
INDTERRAIN;71;63;86;375;
TCIEXP;1198;1126;1407;42;
PKTEA;580;425;909;19;Low volume. Buy below 400
HERITGFOOD;451;325;818;24;
MANINDS;450;408;586;71;
INDORAMA;48;42;67;500;
SUBROS;720;640;950;38;Buy below 640
ADSL;202;188;272;214;
ICIL;403;359;496;68;
INDOBORAX;188;170;238;167;
POCL;906;800;1208;28;
ATFL;776;710;954;45;
ANDHRAPAP;588;550;676;79;
ORIENTPPR;59.5;54;77;545;Too high right now.
GNA;412;383;518;103;
GALAXYSURF;2974;2776;3585;15;Long term
GOLDIAM;162;144;216;167;Long term
RPTECH;376;322;491;56;Long term
VARDHACRLC;58.5;52;74;462;
GREAVESCOT;145;131;175;214;Profit declining
HLEGLAS;497;450;605;64;Long term
MENONBE;135;123;166;250;Long term 2X
DHARMAJ;282;225;438;53;
NATHBIOGEN;245;213;473;94;
DCXINDIA;425;360;635;46;
NELCO;788;640;1090;20;
EPL;205;169;318;83;
DELHIVERY;;;;0;
GOKULAGRO;;;;0;
EMSLIMITED;;;;0;
FINEORG;5050;4021;7321;3;
532406;;;;0;
511768;;;;0;
GEEKAYWIRE;;;;0;
506879;;;;;
544072;;;;;
CAMS;;;;;
KFINTECH;;;;;
EVEREADY;377;343;441;88;Not a very efficient
